"Species","col_2b","col_16S","Group","Color"
"SDRW01",0.000462108,0,"s11_1","2b only"
"Selenomonas",5.1121e-05,0.000439142,"s11_1","shared"
"Shuttleworthia",7.44677e-05,0,"s11_1","2b only"
"Simonsiella",0.000102744,0.000634317,"s11_1","shared"
"Slackia_A",0,9.75872e-05,"s11_1","16S only"
"SoCistrobi",0,7.31904e-05,"s11_1","16S only"
"Soleaferrea",0,7.31904e-05,"s11_1","16S only"
"Sphingomonas",0,7.31904e-05,"s11_1","16S only"
"Stenotrophomonas",1.05965e-05,0,"s11_1","2b only"
"Streptobacillus",0,0.00129303,"s11_1","16S only"
"Streptococcus",0.204760613,0.148332479,"s11_1","shared"
"Suttonella",0,0.000170778,"s11_1","16S only"
"Tannerella",0.002919193,0.002903218,"s11_1","shared"
"Terrisporobacter",0,0.001439411,"s11_1","16S only"
"Thermoanaerosceptrum",0,7.31904e-05,"s11_1","16S only"
"TM7x",0.000541197,0.001390617,"s11_1","shared"
"Treponema",0.000421773,0.001829759,"s11_1","shared"
"Treponema_B",0.000499634,0.002098124,"s11_1","shared"
"Treponema_C",0.000304358,0.000561126,"s11_1","shared"
"Treponema_D",0.000130339,0.001536998,"s11_1","shared"
"UBA10281",0,7.31904e-05,"s11_1","16S only"
"UBA1103",0.000257103,7.31904e-05,"s11_1","shared"
"UBA1191",0,0.000365952,"s11_1","16S only"
"UBA1394",0,0.000268365,"s11_1","16S only"
"UBA1417",0,0.000195174,"s11_1","16S only"
"UBA2730",0,4.87936e-05,"s11_1","16S only"
"UBA2866",7.21733e-05,0,"s11_1","2b only"
"UBA4334",0,0.000170778,"s11_1","16S only"
"UBA4372",0,0.00197614,"s11_1","16S only"
"UBA5446",0,0.000512333,"s11_1","16S only"
"UBA6382",0,7.31904e-05,"s11_1","16S only"
"UBA7173",0,0.000365952,"s11_1","16S only"
"UBA8529",0,0.000927078,"s11_1","16S only"
"UMGS1872",0,0.000268365,"s11_1","16S only"
"UMGS1907",0.000864567,0,"s11_1","2b only"
"UMGS363",0,0.00060992,"s11_1","16S only"
"Vallitalea_A",0,0.001000268,"s11_1","16S only"
"Veillonella",0.003326565,0.005269707,"s11_1","shared"
"W11650",0.000282467,0,"s11_1","2b only"
"W5053",0,0.000243968,"s11_1","16S only"
"Abiotrophia",0.000393202,0.000144496,"s11_11","shared"
"Acetatifactor",0,0.002456426,"s11_11","16S only"
"Acidaminococcus",0,0.000505735,"s11_11","16S only"
"Acinetobacter",0.000167088,0,"s11_11","2b only"
"Actinobacillus_B",0,5.41859e-05,"s11_11","16S only"
"Actinomyces",0.011386754,0.002004877,"s11_11","shared"
"Actinomycetospora",0,7.22478e-05,"s11_11","16S only"
"Acutalibacter",0,9.03098e-05,"s11_11","16S only"
"Adlercreutzia",0,0.000198681,"s11_11","16S only"
"Aeromonas",0,3.61239e-05,"s11_11","16S only"
"Agathobaculum",0,0.000903098,"s11_11","16S only"
"Aggregatibacter",0.017218835,0.016671182,"s11_11","shared"
"Akkermansia",0,0.000126434,"s11_11","16S only"
"Alcaligenes",3.5626e-05,0,"s11_11","2b only"
"Alistipes",0,0.002763479,"s11_11","16S only"
"Alistipes_A",0,0.000415425,"s11_11","16S only"
"Allisonella",0.000442139,0.000216743,"s11_11","shared"
"Alloprevotella",0.005952819,0,"s11_11","2b only"
"AM07-15",0,0.000270929,"s11_11","16S only"
"Amedibacterium",0,0.000379301,"s11_11","16S only"
"Aminipila",0,0.001029531,"s11_11","16S only"
"Aminivibrio",0,0.001770071,"s11_11","16S only"
"Anaerobutyricum",0,0.00287185,"s11_11","16S only"
"Anaerofustis",0,3.61239e-05,"s11_11","16S only"
"Anaeroglobus",0.000626744,0.000126434,"s11_11","shared"
"Anaeromassilibacillus",0,0.00018062,"s11_11","16S only"
"Anaerosacchariphilus",0,0.004118125,"s11_11","16S only"
"Anaerostipes",0,0.001426894,"s11_11","16S only"
"Anaerotignum",0,0.003305337,"s11_11","16S only"
"Anaerotruncus",0,0.000270929,"s11_11","16S only"
"Ancrocorticia",0,0.000343177,"s11_11","16S only"
"Arachnia",0.002562205,0,"s11_11","2b only"
"Aureimonas_A",0,0.000559921,"s11_11","16S only"
"Bact-08",0,0.000126434,"s11_11","16S only"
"Bacteroides",0,0.026876185,"s11_11","16S only"
"Bariatricus",0,0.001878443,"s11_11","16S only"
"Barnesiella",0,0.001372708,"s11_11","16S only"
"Basfia",0.000332403,0,"s11_11","2b only"
"Bergeyella_A",0.000226327,5.41859e-05,"s11_11","shared"
"Bifidobacterium",0.000229044,0.007694392,"s11_11","shared"
"Blautia",0,0.002167434,"s11_11","16S only"
"Blautia_A",0,0.021313104,"s11_11","16S only"
"Brevibacillus_D",0,3.61239e-05,"s11_11","16S only"
"Bulleidia",0.000895267,0.000523797,"s11_11","shared"
"Butyricicoccus_A",0,0.003305337,"s11_11","16S only"
"Butyricimonas",0,0.000848912,"s11_11","16S only"
"Butyrivibrio",0,5.41859e-05,"s11_11","16S only"
"BX7",0,0.000126434,"s11_11","16S only"
"CAG-1000",0,0.001083717,"s11_11","16S only"
"CAG-1024",0,0.000433487,"s11_11","16S only"
"CAG-110",0,0.000939222,"s11_11","16S only"
"CAG-115",0,0.002004877,"s11_11","16S only"
"CAG-127",0,0.001842319,"s11_11","16S only"
"CAG-180",0,0.001300461,"s11_11","16S only"
"CAG-279",0,0.000234805,"s11_11","16S only"
"CAG-302",0,0.000379301,"s11_11","16S only"
"CAG-41",0,0.000541859,"s11_11","16S only"
"CAG-417",0,0.001372708,"s11_11","16S only"
"CAG-45",0,3.61239e-05,"s11_11","16S only"
"CAG-460",0,7.22478e-05,"s11_11","16S only"
"CAG-462",0,3.61239e-05,"s11_11","16S only"
"CAG-475",0,0.000614106,"s11_11","16S only"
"CAG-485",1.05211e-05,5.41859e-05,"s11_11","shared"
"CAG-488",0,0.000216743,"s11_11","16S only"
"CAG-521",0,0.001137903,"s11_11","16S only"
"CAG-632",0,3.61239e-05,"s11_11","16S only"
"CAG-81",0,0.000361239,"s11_11","16S only"
"CAG-831",0,5.41859e-05,"s11_11","16S only"
"CAG-873",0,5.41859e-05,"s11_11","16S only"
"CAG-95",0,5.41859e-05,"s11_11","16S only"
"Campylobacter_A",0.001753884,0.00314278,"s11_11","shared"
"Campylobacter_B",0.000200425,0,"s11_11","2b only"
