index,S9_1,S9_11,S9_12,S9_14,S9_2,S9_6,S9_7,S9_9,S11_1,S11_11,S11_12,S11_14,S11_2,S11_6,S11_7,S11_9,S17_1,S17_11,S17_12,S17_14,S17_2,S17_6,S17_7,S17_9
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei,0,92,0,2,19,1076,0,4,0,1020,0,1063,802,0,0,955,4,0,470,0,0,927,0,0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;__,1576,320,70,4748,1847,1672,4059,1317,934,856,68,1323,1757,936,2446,1133,501,69,1086,4617,218,1771,2580,2090
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium;s__Oribacterium asaccharolyticum,123,117,980,258,301,205,214,43,87,133,175,168,357,82,216,119,87,24,46,70,120,22,75,84
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia;s__Leptotrichia buccalis,89,136,117,596,93,69,604,96,169,126,207,955,83,274,349,231,70,47,38,566,0,36,184,110
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_A;__,402,165,31,65,79,48,54,29,289,1119,39,141,295,82,94,198,644,3716,129,311,3920,8,77,83
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;__,157,197,0,139,3027,110,8,81,24,56,0,20,93,190,50,227,203,0,386,153,23,290,79,253
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella nigrescens,150,43,46,1819,198,274,749,451,135,53,54,162,200,118,320,171,27,38,84,1209,0,105,312,364
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira rogosae_A,0,59,0,14,0,11,19,7,0,476,0,541,159,38,22,349,47,0,848,44,0,56,23,17
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;__;__,79,0,0,164,23,109,1116,84,111,15,0,157,94,49,736,27,28,0,20,94,0,11,223,9
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotellamassilia;s__Prevotellamassilia sp002933955,92,83,7,193,279,333,100,18,104,257,13,91,184,322,281,173,341,17,401,478,8,905,391,295
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Tannerella;__,122,134,305,154,274,174,421,139,119,65,118,160,349,43,101,155,48,31,54,136,147,28,65,70
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis,0,41,0,0,0,66,39,19,0,404,0,545,281,31,140,329,306,0,572,49,0,120,66,65
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;__,216,271,0,43,62,51,181,138,138,6,0,634,82,100,115,783,453,0,908,125,49,209,364,317
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera sp000417505,101,92,0,0,0,250,0,0,14,16,0,53,41,137,119,270,309,0,321,82,12,386,127,67
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;__,0,187,0,0,28,483,0,0,0,244,0,305,35,0,5,229,7,0,0,0,0,368,3,0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Pseudoleptotrichia;s__Pseudoleptotrichia sp003932895,0,0,0,178,9,0,102,0,0,62,0,327,0,0,88,58,55,0,56,1204,0,26,106,0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria sicca_A,1403,0,0,0,0,79,53,60,354,0,0,0,0,42,54,68,436,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;s__Gemella morbillorum,57,55,108,254,64,54,137,74,46,80,48,455,70,181,107,186,22,76,38,195,57,24,75,73
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_C,63,192,0,80,151,37,130,0,25,329,0,774,93,73,0,395,49,0,396,60,0,112,178,72
