sample_id,S9_11,S9_12,S9_14,S9_1,S9_2,S9_6,S9_7,S9_9,S11_11,S11_12,S11_14,S11_1,S11_2,S11_6,S11_7,S11_9,S17_11,S17_12,S17_14,S17_1,S17_2,S17_6,S17_7,S17_9
StreptococcuS_mitiS_BJ,0,0,0,0,0,0,0,0,0,0,416681,0,0,0,0,0,0,0,270706,0,0,0,0,0
StreptococcuS_mitiS_BK,0,0,0,0,0,508534,0,0,0,0,0,885149,0,1155029,670767,0,6164872,0,246035,1368527,1624018,4724545,936374,0
StreptococcuS_mitiS_BL,0,0,0,1444042,0,118418,0,97800,0,0,0,1867304,0,100417,377378,250092,0,0,0,1864739,0,131732,411181,610164
StreptococcuS_mitiS_BM,0,0,0,2432168,0,603339,0,338263,0,0,0,6004866,0,1114834,0,343654,0,1175188,0,10460639,0,1869031,1528346,234248
StreptococcuS_mitiS_BN,0,0,315752,0,0,750040,0,208246,0,0,790754,675433,0,4403280,422948,352042,0,0,3544666,1091321,0,2241270,638696,328903
StreptococcuS_mitiS_BO,0,0,0,0,0,412738,0,514585,0,0,0,876979,0,75800,402027,954216,0,0,0,903762,0,366883,318115,1687639
StreptococcuS_mitiS_BP,1265805,0,298744,122063,0,906878,408981,253088,2593464,276806,482720,218912,0,1923366,1853872,349067,774284,314872,153268,188058,0,1708978,594390,329532
StreptococcuS_mitiS_BQ,0,0,208216,1647056,0,433451,0,784388,693575,876353,409681,2682864,0,1011055,0,1792098,2077105,3100694,924551,2626345,14564395,10150568,382486,2580282
StreptococcuS_mitiS_C,0,0,0,0,0,691685,0,74900,1128259,0,0,336285,0,1545480,0,88100,0,2197179,564580,502641,0,4001262,213205,110653
StreptococcuS_mitiS_D,0,0,0,451772,0,39100,0,0,0,0,0,1055866,0,0,0,0,0,0,478962,1041765,0,97700,217494,149436
StreptococcuS_mitiS_E,0,0,449829,0,0,627058,0,129619,0,0,2713901,338790,0,260078,0,228582,0,0,3961121,577778,0,1169417,0,173764
StreptococcuS_mitiS_F,0,0,0,1120116,0,298618,0,53800,0,0,0,3748366,0,1107842,0,94100,0,787716,232671,5515158,0,1645605,0,115681
StreptococcuS_mitiS_H,0,0,0,0,0,100236,0,385225,0,0,0,465560,0,308501,0,666097,6562235,1743697,0,1262688,0,318353,0,1080290
StreptococcuS_mitiS_I,0,0,0,0,0,582669,0,0,0,0,0,267875,0,1077328,232608,0,0,0,0,798130,0,1103131,0,177985
StreptococcuS_mitiS_J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346716,0,0,0,0,0,115529
StreptococcuS_mitiS_K,0,0,0,583296,0,243661,0,0,0,0,1073779,865440,0,678703,0,179097,0,1083462,1130243,546064,0,1171376,0,47800
StreptococcuS_mitiS_L,0,0,524232,0,0,2176511,0,172694,0,0,2373710,1016347,0,3501050,551737,434394,0,0,4202253,1314430,0,8513607,1543199,953713
StreptococcuS_mitiS_M,0,0,0,1380966,0,262084,0,113126,0,0,0,7013048,0,567852,0,286429,1556557,0,0,13722240,0,1416123,653061,825427
StreptococcuS_mitiS_N,0,0,999394,2030055,0,754975,678913,649552,2552998,0,3121000,2033824,0,1494378,1510218,1276691,11284663,3278602,5476050,3614401,5932402,2767399,1303437,2847127
StreptococcuS_mitiS_O,4407760,0,2959895,5638752,1347253,374756,1255912,1007479,4757392,1161891,10101587,5045061,3810104,885533,2302141,1529194,17529268,5039623,13782118,4233430,10610361,7124882,2980797,2661195
StreptococcuS_mitiS_P,0,0,1051474,2677778,0,0,0,235149,0,0,4369609,2364656,0,0,451396,484421,0,1327053,9471381,2597397,1409481,283681,1041934,974333
StreptococcuS_mitiS_Q,0,0,0,851057,0,1283111,0,489089,3575186,0,0,3133272,0,2852417,743958,1154570,10767711,546016,517705,5432177,6640414,5758447,7120955,2412359
StreptococcuS_mitiS_S,0,0,0,0,0,0,0,0,0,0,0,505777,0,1335494,0,0,7564722,0,380937,307294,0,0,0,256445
StreptococcuS_mitiS_W,0,0,0,858944,0,728505,0,85400,0,0,1109438,1684876,0,625817,2121098,166242,0,1348910,1626996,1618470,4505520,1887908,2608360,537209
StreptococcuS_mitiS_Y,0,0,0,0,0,2609744,0,85300,0,0,0,848131,0,5320217,474163,300636,0,0,0,553627,0,7885105,1414906,252624
StreptococcuS_mutanS,0,0,92800,0,0,0,0,0,0,0,123942,8650,0,0,0,0,0,0,337374,0,0,0,0,40800
StreptococcuS_oraliS,947568,0,1559437,401730,0,6181293,2563391,1366272,2516490,434023,4554079,4651685,726261,5798300,10182056,1835604,4174587,219270,4133515,2009319,3835619,12201344,12364852,2354942
StreptococcuS_oraliS_AA,0,0,0,0,0,78100,0,0,0,0,0,0,0,411622,0,108098,0,0,0,0,0,384027,0,0
StreptococcuS_oraliS_AB,0,0,0,0,0,0,0,0,0,0,0,402335,0,0,0,0,0,0,0,169518,0,0,0,0
StreptococcuS_oraliS_AC,0,0,408705,0,0,399397,0,482290,0,0,1212825,114899,0,1249430,303005,412739,0,0,462677,42700,0,1143262,200846,281841
StreptococcuS_oraliS_AD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277813,0
StreptococcuS_oraliS_B,0,0,0,0,0,171554,0,343543,0,0,0,800747,0,655851,0,290357,0,0,0,407688,0,439174,112583,248992
StreptococcuS_oraliS_BA,0,0,0,658786,0,971262,0,716160,0,0,0,1330886,0,695531,0,1301682,0,2272981,3038701,1489334,0,1122441,0,2880871
StreptococcuS_oraliS_BC,0,0,129688,524602,0,390763,214849,194767,557168,0,0,2152941,0,471846,292118,237058,0,0,888141,1173706,0,920041,343296,260166
StreptococcuS_oraliS_BD,3586033,0,387096,334676,1181491,567521,468385,1142715,4585688,765704,1113442,1064450,2234481,5258020,619791,1698648,2620639,344273,526479,449514,1375086,3415174,371437,1020879
StreptococcuS_oraliS_BE,0,0,0,0,0,38500,317337,156184,0,0,0,622292,0,484275,801929,204477,0,0,0,305540,0,221710,306087,145332
StreptococcuS_oraliS_BF,0,0,0,0,0,401717,0,64600,0,0,0,94500,0,296520,0,74100,0,0,0,52300,0,673796,0,21600
StreptococcuS_oraliS_BG,0,0,0,0,0,230934,0,156525,0,0,0,197514,0,193033,0,106460,0,0,199914,64900,0,998265,0,74100
StreptococcuS_oraliS_BH,0,0,0,0,0,105884,0,72300,0,0,0,0,0,1008981,353451,72400,0,0,0,0,0,436955,0,57000
StreptococcuS_oraliS_BI,0,0,0,0,0,23200,467545,70700,0,0,0,67700,0,0,392188,51600,0,0,0,0,0,104153,137291,40300
StreptococcuS_oraliS_BJ,0,0,0,0,0,67300,0,0,0,0,0,0,0,664334,322073,73800,0,0,0,0,0,488740,0,76800
StreptococcuS_oraliS_C,0,0,271400,0,0,33200,0,733657,0,0,612943,594535,0,229173,0,756687,0,0,617242,245195,0,147896,0,662910
StreptococcuS_oraliS_D,0,0,0,0,0,0,0,470157,0,0,0,1398192,0,532165,0,682502,0,0,0,630277,0,399635,0,762083
StreptococcuS_oraliS_E,0,0,0,0,0,78000,0,83200,0,0,260172,75500,0,122729,642442,102219,0,1082201,253589,27200,0,916365,210825,85600
StreptococcuS_oraliS_F,0,0,811420,0,0,276675,514587,634738,0,0,2044138,957169,0,496299,1321059,694242,0,230261,2107060,1168417,833564,515951,717234,647636
StreptococcuS_oraliS_G,0,0,237473,0,0,401790,1859100,63100,0,0,409628,1905538,0,426651,4644433,64600,0,0,461209,378703,0,1000924,7282258,95900
StreptococcuS_oraliS_H,0,0,0,0,0,403177,0,440321,0,0,0,128681,0,1234377,0,644349,0,0,182144,101456,0,1404499,380723,320764
StreptococcuS_oraliS_I,0,0,54300,0,0,309467,0,57000,0,0,0,55900,0,669514,427007,85400,0,0,0,73400,0,516896,278413,79700
StreptococcuS_oraliS_J,0,0,0,0,0,27100,0,75500,0,0,0,218333,0,225525,414094,260545,0,936744,0,145457,0,163942,294426,252215
StreptococcuS_oraliS_K,0,0,0,128217,0,246959,312571,276028,1254947,0,0,459038,0,1990741,367944,443312,500457,177528,0,253289,0,1320515,197054,227169
StreptococcuS_oraliS_L,0,0,0,0,0,114781,0,48300,0,0,0,0,0,555302,668576,76300,0,0,0,0,0,1083093,911820,0
StreptococcuS_oraliS_M,0,0,0,0,0,63400,0,89800,0,0,0,0,0,623858,0,107881,0,0,0,0,0,435746,0,101189
StreptococcuS_oraliS_N,0,0,0,0,0,310217,0,0,0,0,0,0,0,225486,650446,0,0,0,0,0,0,1089267,824195,0
StreptococcuS_oraliS_O,0,0,0,165846,0,99100,0,507742,0,0,0,756474,0,147396,0,583280,0,211266,105433,450717,830826,391247,0,502471
StreptococcuS_oraliS_Q,0,0,0,0,0,0,0,0,0,0,0,251508,0,0,0,0,0,0,0,107449,0,0,0,0
StreptococcuS_oraliS_R,0,0,0,158523,0,90800,0,63300,0,0,0,338877,0,455489,0,103061,728239,805696,67800,384112,447239,1958829,0,54100
StreptococcuS_oraliS_S,0,0,104424,0,0,1651645,733592,818301,1446933,0,160434,349794,0,2230791,1503680,1254254,2504804,553877,1580500,822493,0,4060069,1648867,827044
StreptococcuS_oraliS_T,0,0,511515,689000,0,591237,827626,615692,1552810,0,1014198,1130010,1425668,1473025,1103398,549208,1427149,0,855072,727328,0,1853065,1185176,549148
StreptococcuS_oraliS_U,0,0,0,0,0,47300,0,116207,1194911,0,0,147345,0,128147,0,199681,0,0,175589,94500,0,92000,0,274233
StreptococcuS_oraliS_V,0,0,0,0,0,231947,0,184018,0,0,0,0,0,219198,389172,217834,0,0,0,0,0,1118425,678380,136434
StreptococcuS_oraliS_W,0,0,0,0,0,717931,0,476208,0,0,0,0,0,1560066,298365,453273,0,76100,0,0,0,2083083,353574,642397
StreptococcuS_oraliS_X,0,0,0,0,0,0,0,0,0,0,0,727809,0,176071,0,0,0,0,0,135160,1536279,271765,0,0
StreptococcuS_oraliS_Y,0,0,409344,0,0,272771,0,393270,0,0,368771,672325,0,1787064,413555,344348,0,0,357222,409467,0,1291264,518747,289003
StreptococcuS_oraliS_Z,0,869167,98400,156265,0,282571,248454,577128,1525397,752718,210375,531627,0,2591411,324965,656338,777304,573231,124200,217911,0,1644201,232060,410352
StreptococcuS_paraSanguiniS,0,324122,5564697,0,0,3155489,1784165,64600,0,233044,3375003,47800,0,622482,4219979,78200,0,112583,1878285,23500,0,408877,1292180,157503
StreptococcuS_paraSanguiniS_A,0,0,0,0,0,91300,0,0,0,0,0,0,0,209037,365345,0,0,0,0,0,0,193715,132382,0
StreptococcuS_paraSanguiniS_B,0,360004,4928190,192757,22800,1060906,1838899,53900,224757,343554,6875944,320003,79700,819732,6598108,79900,44900,96400,2626505,195068,0,940705,2825910,79200
StreptococcuS_paraSanguiniS_C,0,0,189511,0,0,570136,0,0,0,0,161045,11300,0,290561,201586,0,0,0,86100,0,0,314432,106884,0
StreptococcuS_paraSanguiniS_D,0,0,779344,0,0,321771,0,0,0,0,853785,0,0,113705,589998,0,0,0,388755,0,0,81300,324884,0
StreptococcuS_peroriS,0,0,60400,0,0,140511,78200,62100,0,0,151328,49400,0,197602,257752,101976,0,108662,65200,55400,0,178943,178447,254540
StreptococcuS_pneumoniae,0,0,1001782,2598236,936972,2154182,432244,1353809,2703233,255792,4067090,7626526,785892,4318534,2031509,1717796,3431619,1032985,18280800,9031760,3554153,8811029,4144593,4240963
StreptococcuS_pneumoniae_A,0,0,669025,0,0,0,0,120947,0,0,3740392,211433,0,0,0,374981,0,720185,9146254,198772,0,0,0,733788
StreptococcuS_pneumoniae_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351040,0,0,0,0
StreptococcuS_pneumoniae_C,0,0,966129,0,0,0,0,57800,0,0,3078662,181875,0,0,0,177943,0,0,8367125,884451,0,1442859,0,316671
StreptococcuS_pneumoniae_D,1734611,0,1334504,5715253,3211261,571260,549542,1604422,16885550,562878,6392758,14969687,5505922,1174497,3416295,4156572,80416696,4937480,11718263,20831360,47883507,1989707,7581404,12990436
StreptococcuS_pneumoniae_E,0,0,0,0,0,0,0,111473,0,0,0,0,0,0,0,230485,0,0,0,0,0,0,0,350181
StreptococcuS_pSeudopneumoniae,0,0,76200,817382,0,541137,305761,439301,3086223,0,86900,1606027,0,1046985,1097436,879173,2000757,245078,559070,1759897,0,5115034,2739339,1547217
StreptococcuS_pSeudopneumoniae_A,0,0,191049,0,0,380362,479592,70300,1654129,0,242433,151270,0,605388,1834235,104117,921008,190131,226253,121985,0,1436291,1272620,139924
StreptococcuS_pSeudopneumoniae_C,0,0,0,1291666,0,654666,1336170,110588,10456191,0,0,3543245,3129972,1644873,3002787,177392,28168491,2100982,0,4455668,18633208,5400768,7439003,772521
StreptococcuS_pSeudopneumoniae_D,0,0,525699,0,0,720175,313739,124789,0,0,1127839,956180,0,2297233,387113,328799,0,0,1181603,1553220,0,2310955,152709,928993
StreptococcuS_pSeudopneumoniae_E,0,0,0,0,0,105583,250403,274137,0,0,0,44200,0,320769,279013,437487,0,137156,666693,100325,1535078,422541,323038,709960
StreptococcuS_pSeudopneumoniae_G,0,0,0,0,0,511607,0,178667,0,0,0,0,0,811596,0,284658,0,1542872,0,0,0,1344623,0,550552
StreptococcuS_pSeudopneumoniae_H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434514,0,0,0,0,0,0
StreptococcuS_pSeudopneumoniae_J,0,0,386985,270886,0,102372,244100,786866,0,0,1795359,1896503,1118713,330938,581457,700636,0,0,3141395,903683,1456274,525765,554434,572059
StreptococcuS_pSeudopneumoniae_L,0,0,673073,0,0,1503185,613027,207132,653438,0,717914,176992,0,2442540,1545838,311345,694125,229407,454056,210699,0,2797203,837055,205963
StreptococcuS_pSeudopneumoniae_M,0,0,305430,122552,0,1046146,508044,166039,1040952,0,696568,155779,576843,939318,981555,192233,483971,321629,932320,183588,601247,1186301,760184,230723
StreptococcuS_pSeudopneumoniae_N,0,0,139838,150480,0,290363,242138,392865,517870,0,121751,311079,0,337834,682898,489621,0,145514,54500,87800,0,267063,272177,449184
StreptococcuS_pSeudopneumoniae_O,0,0,1365846,3682864,0,6230971,1020835,484046,3949332,558377,5540212,13670293,870900,6033661,3228682,1265854,16958936,6861022,7569018,20937785,6983914,16572742,4504591,2265184
StreptococcuS_pSeudopneumoniae_P,0,0,0,0,0,65900,0,214637,0,0,0,649799,0,198015,0,378344,0,0,0,1164677,3180367,230806,1466730,509355
StreptococcuS_rubneri,0,1835743,140076,0,660635,2938334,0,432013,0,825624,332952,0,1131006,1447392,50300,997693,0,294166,649751,6190,637539,1859455,0,445240
StreptococcuS_SalivariuS,0,279472,23005344,1644244,608276,940375,4266403,41100,629006,194714,32889522,361477,707758,564534,4303752,85700,0,0,9646655,233208,0,216160,1241720,80600
StreptococcuS_SanguiniS,84449801,2235937,25896398,1651636,12818362,243022,2025058,1380724,20693207,6373961,22079624,1539269,7692237,2398317,8011951,947874,8537421,14059455,7149780,685552,1885888,1044060,1574966,532439
StreptococcuS_SanguiniS_A,3142110,216885,134557,91300,436618,0,185840,80500,724150,694064,161224,81100,309872,0,325690,44100,259838,1953210,86100,26400,0,0,94600,34300
StreptococcuS_SanguiniS_C,1366467,0,231879,0,0,21400,0,117771,575336,0,321813,46400,0,200966,144692,53200,0,429215,193311,19300,0,53000,0,33300
StreptococcuS_SanguiniS_D,1069409,0,0,0,535210,0,0,58000,0,274854,0,40700,0,81200,0,41200,0,335872,0,30900,0,27400,0,28000
StreptococcuS_SanguiniS_E,4253162,390132,214308,270365,874033,17200,0,164072,1015074,551895,0,126265,1091888,84600,509345,57100,0,1535862,146163,65100,0,73500,0,61400
StreptococcuS_SanguiniS_F,3034107,0,0,202537,567273,17300,234902,220697,768099,351635,0,176104,0,130760,349305,134522,534112,1050980,0,98800,0,84900,92200,62100
StreptococcuS_SanguiniS_G,2766199,1841806,335028,456214,1181153,14500,0,112231,801212,3783105,287213,384149,433659,195914,148774,39500,364569,11787080,124217,233867,387109,99200,0,26600
