index,S9_11,S9_12,S9_14,S9_1,S9_2,S9_6,S9_7,S9_9,S11_11,S11_12,S11_14,S11_1,S11_2,S11_6,S11_7,S11_9,S17_11,S17_12,S17_14,S17_1,S17_2,S17_6,S17_7,S17_9
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ottowia,78,438,31,36,21,21,223,124,6,401,39,43,24,50,55,157,33,41,18,24,23,9,14,74
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Eubacterium_M,147,214,79,21,24,35,24,6,27,62,86,9,40,12,17,33,54,11,41,18,16,0,10,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115,37,0,147,35,20,0,16,0,125,0,27,5,133,24,16,53,0,49,282,54,0,72,35,10
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia_A,72,367,213,69,128,94,241,122,24,180,118,54,200,254,103,180,25,88,197,24,49,140,69,248
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__UBA4372,26,0,69,89,188,52,73,12,296,0,138,80,71,60,114,130,0,215,156,133,0,220,179,86
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema,175,520,302,123,296,4,400,107,38,197,249,61,71,34,86,155,0,31,161,30,81,0,13,173
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella,139,0,0,3,6,17,0,0,123,0,128,0,21,15,0,89,0,39,3,3,0,13,0,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;__,128,0,136,75,105,105,39,37,581,0,147,80,67,28,54,174,0,115,335,178,0,386,66,52
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180,3,0,44,0,21,29,32,0,63,0,53,0,23,5,140,0,0,17,39,272,0,22,39,15
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga,147,327,219,208,154,309,724,1040,82,452,100,293,260,209,280,408,34,528,187,270,108,48,288,1710
