id,S9_11,S9_12,S9_14,S9_1,S9_2,S9_6,S9_7,S9_9,S11_11,S11_12,S11_14,S11_1,S11_2,S11_6,S11_7,S11_9,S17_11,S17_12,S17_14,S17_1,S17_2,S17_6,S17_7,S17_9
Actinomyces_massiliensis,1389120,0,0,0,0,11000,0,0,511178,103639,0,0,0,774356,0,0,0,0,0,0,0,177012,15200,0
Capnocytophaga_gingivalis,33900,3585004,0,200877,243123,1596116,1810226,2569628,488499,2701478,12700,1076237,1177495,5181257,1424009,2893846,2108826,3436327,0,1457084,893538,1924395,1230195,2302962
Actinomyces_graevenitzii,0,0,1895821,0,172613,2694275,2133197,53800,430689,0,835494,73200,346961,726509,3326650,80500,0,0,585995,36900,0,520942,1295634,198159
Prevotella_seregens,0,389727,504449,286014,3566711,1880,160194,596704,427854,1764120,15700,95700,2210929,0,53600,492299,633810,249339,0,46400,2512274,0,94200,432606
Leptotrichia_A_sp000469505,1076204,2509158,1499718,496907,870279,8191690,404412,2948862,425829,422026,2568917,346209,1915571,1962527,1033716,3935654,0,897823,1714588,237283,412345,2237735,1126243,2745885
Prevotella_loescheii,1068830,3561409,2200473,487781,0,290604,0,1029084,393837,2783428,3242761,468856,256098,1524737,78600,771454,2594974,2697919,3333626,524701,107258,1064316,55000,1269120
Prevotella_baroniae,113387,173931,11401958,503473,4439832,157337,2074563,555884,377030,257615,10181449,161613,864901,37500,1284917,428189,351966,0,19806958,97300,740522,46200,1082095,427032
Tannerella_sp002890585,750076,2154510,1114202,14800,426886,47500,19900,372373,330964,4251465,0,74000,0,214131,0,404996,0,359594,0,56100,0,34800,57100,407110
Lancefieldella_rimae,801904,0,4661786,0,0,193221,2143955,328414,315980,1923211,1553610,61800,0,186571,1937119,776212,0,81500,1853658,85100,0,62400,876489,488460
Peptoanaerobacter_stomatis,204138,0,287194,156695,48800,23300,377408,719161,307476,160728,217728,33600,0,3180,272295,468273,135419,0,110467,15600,85400,0,93300,343073
Actinomyces_dentalis,192461,0,0,0,0,10900,1118562,47800,302313,12900,0,5220,0,644852,272509,13000,139871,0,0,0,0,88500,301521,103527
Campylobacter_B_gracilis,872374,5001716,506814,150129,353643,40300,2316952,495877,284089,2149826,520367,90400,181194,854783,732403,435920,487756,447293,570831,40700,0,105738,464754,504707
Leptotrichia_wadei_A,99100,0,4383263,620438,0,2243462,6016372,124667,270623,0,6974559,163285,0,376215,1429042,196967,0,0,4602522,0,0,188534,730268,58500
Leptotrichia_trevisanii,1000203,0,443969,113404,0,3970,296074,20900,230329,0,2056837,29100,0,208496,91100,0,684268,0,704107,17700,981905,47700,0,33700
Gemella_haemolysans_A,0,0,0,2368237,0,1249975,0,378304,209169,0,0,1723734,0,5582164,644279,921558,2938654,6273532,79800,1871465,602199,12651679,240570,1587645
Eubacterium_B_infirmum,296732,1951243,3509291,131767,182123,99900,511459,1207246,192059,4594201,683493,134242,0,174071,763562,1289325,0,177622,475651,167992,0,0,236917,670847
Prevotella_koreensis,200450,3567778,20308591,1191909,8160134,401017,3229381,6306614,189932,4758715,12048596,1105592,3120729,384719,1120019,8854954,33500,429187,7921723,270672,1399918,173443,609514,5232064
Streptococcus_pneumoniae,0,0,0,0,0,35300,0,115015,170797,0,0,0,0,0,0,262504,1777142,14500,138454,7640,0,0,0,317221
Cardiobacterium_valvarum,327358,4712214,270075,21100,0,27800,231523,393538,162293,2013448,579738,98000,0,377137,97000,413678,0,563719,103933,71400,0,92900,3130,358489
Pauljensenia_hongkongensis,115640,0,0,0,0,13600,516946,0,161686,0,0,0,0,80300,608194,0,0,0,0,0,0,116139,172000,4980
Streptococcus_timonensis,0,0,0,1525221,632731,581209,779023,1628346,150346,113563,0,955680,1277508,429082,2480425,3110914,0,1135024,0,529830,781767,875986,1230090,3243002
Veillonella_atypica,0,0,7921049,908455,0,2187704,12574328,192234,149638,0,2107239,162135,0,221815,9823939,325186,0,0,3678344,89900,0,176502,10657617,175628
Anaeroglobus_micronuciformis,0,0,1704809,0,0,11199204,850675,0,146702,0,205014,6270,0,66200,745787,0,0,0,0,0,0,149074,520174,0
