sample_id,S9_11,S9_12,S9_14,S9_1,S9_2,S9_6,S9_7,S9_9,S11_11,S11_12,S11_14,S11_1,S11_2,S11_6,S11_7,S11_9,S13_11,S13_12,S13_14,S13_1,S13_2,S13_6,S13_7,S13_9,S17_11,S17_12,S17_14,S17_1,S17_2,S17_6,S17_7,S17_9
ParaScardovia,0,0,90700,7300,0,0,0,0,0,0,305204,5090,0,0,0,0,0,0,44700,0,0,0,0,0,0,0,125404,1590,0,0,0,0
Scardovia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9310,0,0,0,0,0,0,0,96900,0,0,0,0,0
Scardovia,232339,0,1175271,0,197304,31100,831148,13800,106682,28500,744240,7150,62000,12000,611186,15300,219009,0,318652,8670,0,16700,356868,5600,216483,0,363980,20800,30800,13800,585818,6480
Brevibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,1590,0,0,0,0,0,0,0,4600,0,0,0,0,0,0,0,3220,0,0
Brevibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,0,0,0,0,0,0,0,0,0,0
CellulomonaS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0
Brachybacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7880,0,0,2070,0,0,0,0,0,0,0,0,0,0
Brachybacterium,0,0,0,0,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachybacterium,0,0,0,0,0,0,0,0,5930,0,0,0,0,0,0,0,0,0,0,0,0,3010,0,0,0,0,0,0,0,2450,0,0
Dermabacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7750,0,0,0,0,0
BranchiibiuS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580,0,0
BranchiibiuS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2560,0,0,0,0,0,0,0,990,0,0
Janibacter,14000,0,0,0,0,0,0,0,11800,0,0,0,0,1940,0,0,0,0,0,0,0,2120,0,0,11300,0,0,0,0,0,0,0
Janibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920,0,0,0,0,0,0,0,0,0,0
OrnithinicoccuS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797,0,0
