"Species","col_WMS","col_2b","Group","Color"
"Micrococcus",0,5.64599e-05,"s11_11","2b only"
"Mogibacterium",0.00348739930252014,0.004382172,"s11_11","shared"
"Nanoperiomorbus",0.00175139964972007,0,"s11_11","WMS only"
"Nanosynbacter",0.00305379938924012,0,"s11_11","WMS only"
"Neisseria",0.272428845514231,0.202424221,"s11_11","shared"
"Olsenella",0,0.000276231,"s11_11","2b only"
"Oribacterium",0,0.000726259,"s11_11","2b only"
"Ottowia",7.4399985120003e-05,0.000281454,"s11_11","shared"
"Paracoccus",0,1.25004e-05,"s11_11","2b only"
"Parvimonas",0.00469239906152019,0.004141501,"s11_11","shared"
"Pauljensenia",0.00165709966858007,0.003301345,"s11_11","shared"
"Peptidiphaga",0.0024479995104001,0.002555773,"s11_11","shared"
"Peptoanaerobacter",0.000303699939260012,0.000543712,"s11_11","shared"
"Peptostreptococcus",0,0.000399667,"s11_11","2b only"
"Phocaeicola",0,7.25021e-05,"s11_11","2b only"
"Porphyromonas",0.026152994769401,0.021099985,"s11_11","shared"
"Prevotella",0.0228440954311809,0.027905825,"s11_11","shared"
"Propionimicrobium",0,1.66671e-05,"s11_11","2b only"
"Pseudoleptotrichia",0.000233699953260009,0.000581185,"s11_11","shared"
"Pseudoramibacter",0,3.65635e-05,"s11_11","2b only"
"Ralstonia",0,1.21878e-05,"s11_11","2b only"
"Rodentibacter",0,6.07309e-05,"s11_11","2b only"
"Rothia",0.163779267244147,0.193903838,"s11_11","shared"
"Saccharimonas",0.00132919973416005,0.001500862,"s11_11","shared"
"Scardovia",0,0.000106684,"s11_11","2b only"
"SDRW01",0.000591599881680024,0.000895883,"s11_11","shared"
"Selenomonas",0,0.000233883,"s11_11","2b only"
"Shuttleworthia",0,0.000140097,"s11_11","2b only"
"Slackia",0,0.000158853,"s11_11","2b only"
"Stomatobaculum",0,2.10423e-05,"s11_11","2b only"
"Streptococcus",0.100644579871084,0.204855339,"s11_11","shared"
"Tannerella",0.0048916990216602,0.006224447,"s11_11","shared"
"TM7x",0,0.003121841,"s11_11","2b only"
"Treponema",0.00297659940468012,0.000835289,"s11_11","shared"
"Treponema_B",0.00123249975350005,0.001682627,"s11_11","shared"
"Treponema_C",0.000905199818960036,0.000883632,"s11_11","shared"
"Treponema_D",0,0.000228236,"s11_11","2b only"
"UBA1103",0,0.001544647,"s11_11","2b only"
"UBA2866",0,0.000319258,"s11_11","2b only"
"Veillonella",0.0140670971865806,0.015523735,"s11_11","shared"
"W11650",2.74999945000011e-05,0.000171388,"s11_11","shared"
"Abiotrophia",0.000887231785613469,0.001064297,"s11_12","shared"
"Acinetobacter",0,6.60771e-05,"s11_12","2b only"
"Actinomyces",0.00363468786061051,0.007664175,"s11_12","shared"
"Aggregatibacter",0.0610139306938916,0.0431503,"s11_12","shared"
"Alcaligenes",0,2.27462e-05,"s11_12","2b only"
"Alloprevotella",0.00499099261403389,0.004453132,"s11_12","shared"
"Anaeroglobus",0.000384015206359469,0.000516669,"s11_12","shared"
"Arachnia",0.00574355797921638,0.006072294,"s11_12","shared"
"Bacillus_A",0,4.24046e-05,"s11_12","2b only"
"Bacteroides",0,2.53192e-05,"s11_12","2b only"
"Bacteroides_D",0.00715860982880092,0,"s11_12","WMS only"
"Bergeyella_A",0.000543887645827113,0.000753221,"s11_12","shared"
"Brevibacillus_D",0,1.15275e-05,"s11_12","2b only"
"Bulleidia",0.00116269039205804,0.002186657,"s11_12","shared"
"CAJPPJ01",5.63369588827568e-05,0,"s11_12","WMS only"
"CAJPSE01",0.00610106167551338,0,"s11_12","WMS only"
"Campylobacter_A",0.00792362756992185,0.007177756,"s11_12","shared"
"Campylobacter_B",0.00257272112231256,0.001092417,"s11_12","shared"
"Capnocytophaga",0.0257827448029155,0.029231728,"s11_12","shared"
"Cardiobacterium",0.0141340492244429,0.012274491,"s11_12","shared"
"Catonella",0.000764214362028126,0.000524099,"s11_12","shared"
"Centipeda",0.00425047793524343,0.006908419,"s11_12","shared"
