"Species","col_2b","col_WMS","Group"
"Haemophilus_D_parainfluenzae_J",0.000785281,0.001172635,"s11_1"
"Haemophilus_D_parainfluenzae_K",0.004171259,0.005190419,"s11_1"
"Haemophilus_D_parainfluenzae_L",0.001981473,0.001367718,"s11_1"
"Haemophilus_D_parainfluenzae_M",0.008992383,0.006569004,"s11_1"
"Haemophilus_D_parainfluenzae_N",0.001801694,0.002269494,"s11_1"
"Haemophilus_D_pittmaniae",0.000102976,0.000426677,"s11_1"
"Haemophilus_D_sp001679485",0.005870155,0.005670183,"s11_1"
"Haemophilus_D_sp001815355",0.003315339,0.002794078,"s11_1"
"Haemophilus_D_sp900755445",0.0037013,0.005017252,"s11_1"
"Haemophilus_D_sp900756155",0.000584552,0.001406943,"s11_1"
"Haemophilus_D_sp900756875",0.00117598,0.001447979,"s11_1"
"Haemophilus_D_sp900764435",0.000886728,0.000848281,"s11_1"
"Haemophilus_haemolyticus",0.006158811,0.00795849,"s11_1"
"Haemophilus_haemolyticus_I",0.00104701,0.001036058,"s11_1"
"Haemophilus_influenzae_D",0.000200465,0.000260913,"s11_1"
"Haemophilus_quentini",8.65e-05,0.000194776,"s11_1"
"Haemophilus_sp001276515",0.005588767,0.003761318,"s11_1"
"Haemophilus_sp002998595",0.004942422,0.005670914,"s11_1"
"HOT-345_sp003260355",0.000139802,0.000201346,"s11_1"
"HOT-345_sp013333295",0.000230181,0.000271666,"s11_1"
"HOT-345_sp013333605",0.001103042,0.001283425,"s11_1"
"JABCPE02_sp013333255",0.001718495,0.00180829,"s11_1"
"JABCPE02_sp013333875",0.001004746,0.000951723,"s11_1"
"JABCPG02_sp013333195",1.98e-05,1.56942e-05,"s11_1"
"Johnsonella_sp900766185",5.08e-05,3.88811e-05,"s11_1"
"Kingella_A_denitrificans",0.001077664,0.001267462,"s11_1"
"Kingella_B_oralis",7.04e-05,5.14486e-05,"s11_1"
"Kingella_kingae",0.000255745,0.000291602,"s11_1"
"Kingella_negevensis",8.51e-06,0.000494442,"s11_1"
"Klebsiella_pneumoniae",1.64e-06,2.18655e-05,"s11_1"
"Lachnoanaerobaculum_sp000209465",7.69e-05,0.000101467,"s11_1"
"Lancefieldella_rimae",5.18e-05,5.82462e-05,"s11_1"
"Lancefieldella_sp000564995",4.97e-05,4.99315e-05,"s11_1"
"Lautropia_dentalis",0.000316077,0.000344854,"s11_1"
"Lautropia_mirabilis",0.004056886,0.004553412,"s11_1"
"Lawsonella_clevelandensis_A",1.94e-05,1.90297e-05,"s11_1"
"Leptotrichia_A_sp000469505",0.000254333,0.000173789,"s11_1"
"Leptotrichia_A_sp001274535",0.000260615,0.000187724,"s11_1"
"Leptotrichia_buccalis",0.000574213,0.000656573,"s11_1"
"Leptotrichia_hofstadii",8.08e-05,0.000158115,"s11_1"
"Leptotrichia_massiliensis",0.000233879,0.000375918,"s11_1"
"Leptotrichia_sp002240055",0.000115044,0.000113546,"s11_1"
"Leptotrichia_sp013394795",5.07e-05,9.51991e-05,"s11_1"
"Leptotrichia_trevisanii",0.000134421,0.000218125,"s11_1"
"Leptotrichia_wadei_A",7.18e-05,0.000145999,"s11_1"
"Microbacterium_barkeri",2.21e-05,2.62859e-05,"s11_1"
"Microbacterium_testaceum_B",2.92e-06,6.98326e-06,"s11_1"
"Mogibacterium_timidum",0.00033074,0.000286472,"s11_1"
"Neisseria_animalis",3.49e-05,5.91949e-05,"s11_1"
"Neisseria_bacilliformis",5.98e-05,0.00010304,"s11_1"
"Neisseria_bergeri",0.000168182,0.000189689,"s11_1"
"Neisseria_cerebrosa",0.020518839,0.022236767,"s11_1"
"Neisseria_cinerea",0.014979589,0.013927011,"s11_1"
"Neisseria_elongata",0.018535962,0.021822789,"s11_1"
"Neisseria_flavescens",0.001393033,0.001178803,"s11_1"
"Neisseria_flavescens_A",0.000479026,0.001920396,"s11_1"
"Neisseria_flavescens_B",0.023567721,0.026405999,"s11_1"
"Neisseria_flavescens_C",0.0033133,0.003628787,"s11_1"
"Neisseria_gonorrhoeae",0.003198577,0.00226807,"s11_1"
"Neisseria_iguanae",0.000286629,0.000264542,"s11_1"
"Neisseria_lactamica",0.000627013,0.000958956,"s11_1"
"Neisseria_lactamica_A",8.55e-05,0.000105078,"s11_1"
"Neisseria_lactamica_B",0.007577186,0.004662983,"s11_1"
"Neisseria_macacae",0.002285052,0.004289337,"s11_1"
"Neisseria_meningitidis",0.003305926,0.005408384,"s11_1"
"Neisseria_mucosa",0.016190383,0.019504516,"s11_1"
"Neisseria_mucosa_A",0.035244942,0.034723917,"s11_1"
"Neisseria_perflava",0.000927465,0.00197343,"s11_1"
"Neisseria_polysaccharea",0.002266769,0.001887188,"s11_1"
"Neisseria_potus",9.7e-05,5.46407e-05,"s11_1"
"Neisseria_sicca",0.002978864,0.003819447,"s11_1"
"Neisseria_sicca_A",0.021641494,0.022505773,"s11_1"
"Neisseria_sicca_B",0.002621962,0.005441265,"s11_1"
"Neisseria_sicca_C",0.001172983,0.001867521,"s11_1"
"Neisseria_sicca_D",0.207240348,0.215703357,"s11_1"
"Neisseria_sicca_E",0.003196374,0.002668368,"s11_1"
"Neisseria_sp000090875",0.003784356,0.004420512,"s11_1"
"Neisseria_sp000186165",0.009381571,0.010461788,"s11_1"
"Neisseria_sp000227275",0.005137045,0.003618429,"s11_1"
"Neisseria_sp000952795",0.000500781,0.00222766,"s11_1"
"Neisseria_sp001809325",0.003325081,0.005037549,"s11_1"
"Neisseria_sp001815675",0.000108331,0.000209747,"s11_1"
"Neisseria_sp002237445",0.00026358,0.000320809,"s11_1"
"Neisseria_sp011038745",7.14e-06,9.34145e-06,"s11_1"
"Neisseria_subflava",0.025234434,0.024865147,"s11_1"
"Neisseria_subflava_A",0.031257656,0.032880763,"s11_1"
"Neisseria_subflava_B",0.003491523,0.003885572,"s11_1"
"Neisseria_subflava_C",0.01668733,0.017406718,"s11_1"
"Olsenella_sp001189515",2.09e-05,2.03454e-05,"s11_1"
"Oribacterium_asaccharolyticum",3.45e-05,3.63912e-05,"s11_1"
"Oribacterium_sinus",7.56e-05,6.60747e-05,"s11_1"
"Oribacterium_sp000160135",1.77e-05,2.04589e-05,"s11_1"
"Ottowia_sp001262075",0.000344911,0.000447793,"s11_1"
"Parvimonas_micra",0.000431507,0.000519363,"s11_1"
"Pauljensenia_cardiffensis",6.69e-06,7.47537e-06,"s11_1"
"Pauljensenia_georgiae",1.46e-05,2.43797e-05,"s11_1"
"Pauljensenia_hongkongensis",3.12e-05,3.97954e-05,"s11_1"
"Pauljensenia_marseillensis",1.33e-05,1.53156e-05,"s11_1"
"Pauljensenia_odontolytica",0.000180203,0.000186328,"s11_1"
"Pauljensenia_odontolytica_A",1.73e-05,1.3235e-05,"s11_1"
"Pauljensenia_odontolytica_B",2.52e-05,2.97834e-05,"s11_1"
"Pauljensenia_odontolytica_C",1.03e-05,1.5432e-05,"s11_1"
"Pauljensenia_pyogenes_A",3e-05,2.88059e-05,"s11_1"
"Pauljensenia_sp000185285",1.22e-05,1.72886e-05,"s11_1"
"Pauljensenia_sp000278725",0.000101284,0.000114632,"s11_1"
"Pauljensenia_sp000308055",1.47e-05,1.72955e-05,"s11_1"
"Pauljensenia_sp000466265",2.94e-05,3.16475e-05,"s11_1"
"Pauljensenia_sp001064145",1.6e-05,1.87724e-05,"s11_1"
"Pauljensenia_sp001072465",2.39e-05,2.46503e-05,"s11_1"
"Pauljensenia_sp001838165",2.31e-05,2.42369e-05,"s11_1"
"Pauljensenia_sp900554605",2.55e-05,2.58757e-05,"s11_1"
"Pauljensenia_sp902373435",9.88e-06,1.33351e-05,"s11_1"
"Pauljensenia_sp902373545",1.78e-05,2.73225e-05,"s11_1"
"Peptidiphaga_gingivicola",4.15e-05,4.71364e-05,"s11_1"
"Peptidiphaga_sp000466165",0.00013059,0.000163342,"s11_1"
"Peptoanaerobacter_margaretiae",8.3e-05,6.22865e-05,"s11_1"
"Peptoanaerobacter_stomatis",0.000132074,0.000198497,"s11_1"
"Peptoanaerobacter_yurii",3.74e-05,6.08394e-05,"s11_1"
"Peptostreptococcus_stomatis",0.000303538,0.000346374,"s11_1"
"Phocaeicola_abscessus",3.36e-05,2.84867e-05,"s11_1"
"Porphyromonas_catoniae",0.000675468,0.000503921,"s11_1"
"Porphyromonas_endodontalis",0.0039496,0.003548477,"s11_1"
"Porphyromonas_gingivalis",0.007981138,0.007609972,"s11_1"
